Title,Url,Description
3D,https://github.com/topics/3d,3D modeling is the process of virtually developing the surface and structure of a 3D object.
Ajax,https://github.com/topics/ajax,Ajax is a technique for creating interactive web applications.
Algorithm,https://github.com/topics/algorithm,Algorithms are self-contained sequences that carry out a variety of tasks.
Amp,https://github.com/topics/amphp,Amp is a non-blocking concurrency library for PHP.
Android,https://github.com/topics/android,Android is an operating system built by Google designed for mobile devices.
Angular,https://github.com/topics/angular,Angular is an open source web application platform.
Ansible,https://github.com/topics/ansible,Ansible is a simple and powerful automation engine.
API,https://github.com/topics/api,An API (Application Programming Interface) is a collection of protocols and subroutines for building software.
Arduino,https://github.com/topics/arduino,Arduino is an open source hardware and software company and maker community.
ASP.NET,https://github.com/topics/aspnet,ASP.NET is a web framework for building modern web apps and services.
Atom,https://github.com/topics/atom,Atom is a open source text editor built with web technologies.
Awesome Lists,https://github.com/topics/awesome,An awesome list is a list of awesome things curated by the community.
Amazon Web Services,https://github.com/topics/aws,Amazon Web Services provides on-demand cloud computing platforms on a subscription basis.
Azure,https://github.com/topics/azure,Azure is a cloud computing service created by Microsoft.
Babel,https://github.com/topics/babel,"Babel is a compiler for writing next generation JavaScript, today."
Bash,https://github.com/topics/bash,Bash is a shell and command language interpreter for the GNU operating system.
Bitcoin,https://github.com/topics/bitcoin,Bitcoin is a cryptocurrency developed by Satoshi Nakamoto.
Bootstrap,https://github.com/topics/bootstrap,"Bootstrap is an HTML, CSS, and JavaScript framework."
Bot,https://github.com/topics/bot,A bot is an application that runs automated tasks over the Internet.
C,https://github.com/topics/c,C is a general purpose programming language that first appeared in 1972.
Chrome,https://github.com/topics/chrome,Chrome is a web browser from the tech company Google.
Chrome extension,https://github.com/topics/chrome-extension,Google Chrome Extensions are add-ons that allow users to customize their Chrome web browser.
Command line interface,https://github.com/topics/cli,"A CLI, or command-line interface, is a console that helps users issue commands to a program."
Clojure,https://github.com/topics/clojure,"Clojure is a dynamic, general-purpose programming language."
Code quality,https://github.com/topics/code-quality,"Automate your code review with style, quality, security, and test‑coverage checks when you need them."
Code review,https://github.com/topics/code-review,Ensure your code meets quality standards and ship with confidence.
Compiler,https://github.com/topics/compiler,Compilers are software that translate higher-level programming languages to lower-level languages (e.g. machine code).
Continuous integration,https://github.com/topics/continuous-integration,"Automatically build and test your code as you push it upstream, preventing bugs from being deployed to production."
COVID-19,https://github.com/topics/covid-19,The coronavirus disease 2019 (COVID-19) is an infectious disease caused by SARS-CoV-2.
C++,https://github.com/topics/cpp,C++ is a general purpose and object-oriented programming language.
